iter	Passed	Remaining
937	2643	174
938	2646	171
939	2648	169
940	2650	166
941	2651	163
942	2653	160
943	2655	157
944	2657	154
945	2658	151
946	2662	148
947	2663	146
948	2665	143
949	2667	140
950	2669	137
951	2670	134
952	2673	131
953	2678	129
954	2679	126
955	2681	123
956	2683	120
957	2685	117
958	2687	114
959	2691	112
960	2693	109
961	2695	106
962	2697	103
963	2699	100
964	2701	97
965	2703	95
966	2706	92
967	2708	89
968	2710	86
969	2713	83
970	2715	81
971	2717	78
972	2720	75
973	2722	72
974	2724	69
975	2727	67
976	2729	64
977	2731	61
978	2733	58
979	2736	55
980	2737	53
981	2740	50
982	2742	47
983	2746	44
984	2749	41
985	2751	39
986	2753	36
987	2755	33
988	2757	30
989	2759	27
990	2761	25
991	2762	22
992	2765	19
993	2767	16
994	2769	13
995	2771	11
996	2773	8
997	2774	5
998	2776	2
999	2778	0
